,0
"Saturated Fat in g, from 24hr recall food and supplement intake","Saturated fatty acids levels (UKB data field 23448), Saturated fatty acid levels, Fasting saturated fatty acids, Postprandial saturated fatty acids, Saturated fatty acids to total fatty acids percentage (UKB data field 23455)"
"Monounsaturated Fat in g, from 24hr recall food and supplement intake","Monounsaturated fatty acids (16:1, 18:1), Monounsaturated fatty acids levels (UKB data field 23447), Fasting monounsaturated fatty acids (16:1, 18:1), Monounsaturated fatty acid levels, Monounsaturated fatty acids."
"Polyunsaturated Fat in g, from 24hr recall food and supplement intake","Polyunsaturated fatty acids, Polyunsaturated fatty acids levels (UKB data field 23446), Serum polyunsaturated fatty acid concentration x Mediterranean diet adherence interaction in metabolic syndrome, Fasting polyunsaturated fatty acids, Postprandial polyunsaturated fatty acids."
"Cholesterol in mg, from 24hr recall food and supplement intake","Cholesterol, total, Serum total cholesterol levels, Total cholesterol levels (UKB data field 23400), Total cholesterol levels, VLDL cholesterol levels (UKB data field 23403)"
"Vitamin A in mcg, from 24hr recall food and supplement intake","Retinol (Vitamin A) levels, Vitamin levels, Response to Vitamin E supplementation, Dietary macronutrient intake, Vitamin B1 intake"
"Calcium in mg, from 24hr recall food and supplement intake","Calcium in mg, from 24hr recall food and supplement intake, Calcium levels, Serum calcium levels, Plasma calcium levels, Urinary calcium excretion"
"Starch in g, from 24hr recall food and supplement intake","Relative carbohydrate intake, Principal component-derived dietary pattern 45, Principal component-derived dietary pattern 30, Principal component-derived dietary pattern 35, Principal component-derived dietary pattern 39"
"Sugar in g, from 24hr recall food and supplement intake","Relative sugar intake, Intake of total sugars, Sugar-sweetened beverage consumption, Intake of sweets, Never eat sugar vs no sugar restrictions (UKB data field 6144)"
"Dietary Fibre in g, from 24hr recall food and supplement intake","Dietary macronutrient intake (multi-trait analysis), Principal component-derived dietary pattern 30, Principal component-derived dietary pattern 40, Vegetable intake (standard GWA), Principal component-derived dietary pattern 24"
"B Carotene in mcg, from 24hr recall food and supplement intake","Carotenoid levels (alpha-carotene), Carotene diol (1) levels, Carotene diol (2) levels, Carotene diol (1) levels in elite athletes, Carotene diol (2) levels in elite athletes"
"Retinol in mcg, from 24hr recall food and supplement intake","Retinol (Vitamin A) levels, Retinol-binding protein 1 levels, Retinol-binding protein 2 levels, Retinol-binding protein 4 levels, Retinol-binding protein 5 levels."
"Iron in mg, from 24hr recall food and supplement intake","Iron levels, Serum iron levels, Iron status biomarkers (ferritin levels), Iron deficiency anemia, Iron status biomarkers (transferrin levels)"
"Vitamin C in mg, from 24hr recall food and supplement intake","Vitamin C levels, Response to Vitamin E supplementation, Treatment or medication use - vitamin e product (UKB data field 20003_1140871112), Vitamin D levels (dietary vitamin D intake interaction), Vitamin E levels"
"Sodium in mg, from 24hr recall food and supplement intake","Sodium intake, Urinary sodium levels, Urinary sodium excretion, Added salt consumption, Urinary sodium to creatinine ratio"
"Thiamin in mg, from 24hr recall food and supplement intake","Vitamin B1 intake, Thiamin pyrophosphokinase 1 levels, Serum magnesium levels, Urinary magnesium excretion, Plasma magnesium levels"
"Riboflavin in mg, from 24hr recall food and supplement intake","Riboflavin kinase levels (RFK.13059.33.3), Riboflavin to 3-Indolepropionic acid ratio in coronary artery disease, Riboflavin kinase levels, Metabolite levels (ribose), Metabolite levels (ribitol)"
"Potassium in mg, from 24hr recall food and supplement intake","Potassium levels, Urinary potassium levels, Urinary potassium excretion, Plasma metabolome feature (c18_126) (Potassium bicarbonate), Urinary potassium to creatinine ratio."
"Phosphorus in mg, from 24hr recall food and supplement intake","Phosphorus intake, Serum phosphate levels, Phosphate levels, Phosphate levels (adjusted for BMI) x vegetarianism interaction, Phosphate levels x vegetarianism interaction."
"Zinc in mg, from 24hr recall food and supplement intake","Zinc intake, Serum zinc levels, Plasma zinc levels, Blood trace element (Zn levels), Immunoglobulin measurement (zinc sulfate turbidity test)"
"Selenium in mcg, from 24hr recall food and supplement intake","Response to selenium supplementation (change in plasma selenium concentration), Serum selenium levels, Plasma selenium levels, Plasma selenium concentration, Toenail selenium levels."
Maternal Plasma Sodium concentration (mg/L) at pregnancy week 26,"Sodium levels, Urinary sodium levels, Urinary sodium excretion, Blood osmolality (transformed sodium), Sodium intake."
Maternal Plasma Magnesium concentration (mg/L) at pregnancy week 26,"Serum magnesium levels, Plasma magnesium levels, Magnesium levels, Urinary magnesium excretion, Urinary magnesium-to-creatinine ratio."
Maternal Magnesium deficiency - Sufficient (≥ 20.68 mg/L); Marginally deficient (≥ 18.25 mg/L or < 20.68 mg/L); Deficient (< 18.25 mg/L) at pregnancy week 26,"Magnesium levels, Serum magnesium levels, Plasma magnesium levels, Urinary magnesium-to-creatinine ratio, Urinary magnesium excretion"
Maternal Plasma Phosphorus concentration (mg/L) at pregnancy week 26,"Phosphorus levels, Serum phosphate levels, Phosphate levels, Alkaline phosphatase, placental type levels, Phosphorus intake."
Maternal Plasma Potassium concentration (mg/L) at pregnancy week 26,"Potassium levels, Urinary potassium levels, Urinary potassium excretion, Urinary potassium to creatinine ratio, Blood pressure measurement (high sodium and potassium intervention)"
Maternal Plasma Calcium concentration (mg/L) at pregnancy week 26,"Serum calcium levels, Plasma calcium levels, Calcium levels, Calcium levels (UKB data field 30680), Urinary calcium excretion."
Maternal Plasma Iron concentration (ug/L) at pregnancy week 26,"Plasma iron levels, Serum iron levels, Iron status biomarkers (iron levels), Iron status biomarkers, Iron status biomarkers (ferritin levels)"
Maternal Iron deficiency - Sufficient (≥ 558.8 ug/L); Deficient (< 558.6 ug/L) at pregnancy week 26,"Iron deficiency anemia, Serum iron levels, Iron status biomarkers (ferritin levels), Iron status biomarkers (total iron binding capacity), Iron status biomarkers (transferrin saturation)"
Maternal Plasma Ferritin concentration (ng/mL) at pregnancy week 26,"Ferritin levels, Ferritin levels (FTH1.FTL.3031.66.1), Iron status biomarkers (ferritin levels), Ferritin level (brain), Ferritin, mitochondrial levels."
Maternal Ferritin deficiency - Sufficient (≥ 15 ng/mL); Deficient (< 15ng/mL) at pregnancy week 26,"Ferritin levels, Ferritin levels (FTH1.FTL.3031.66.1), Iron status biomarkers (ferritin levels), Serum iron levels, Hepcidin/ferritin ratio."
Maternal Plasma Copper concentration (µg/L) at pregnancy week 26,"Plasma copper levels, Serum copper levels, Blood trace element (Cu levels), Copper levels, Copper homeostasis protein cutC homolog levels."
Maternal Copper deficiency - Sufficient (≥ 900 ug/L); Deficient (< 900 ug/L) at pregnancy week 26,"Serum copper levels, Blood trace element (Cu levels), Plasma copper levels, Copper levels, Copper homeostasis protein cutC homolog levels"
Maternal Plasma Zinc concentration (µg/L) at pregnancy week 26,"Serum zinc levels, Plasma zinc levels, Zinc levels, Blood trace element (Zn levels), Zinc intake."
Maternal Zinc deficiency - Sufficient (≥700 ug/L); Deficient (< 700 ug/L) at pregnancy week 26,"Serum zinc levels, Plasma zinc levels, Blood trace element (Zn levels), Zinc intake, Zinc-alpha-2-glycoprotein levels"
Maternal Plasma Selenium concentration (ug/L) at pregnancy week 26,"Midgestational selenium levels, Serum selenium levels, Plasma selenium levels, Plasma selenium concentration, Blood trace element (Se levels)"
Maternal Plasma Folate (ng/ml) at pregnancy week 26,"Serum folate levels, Folate pathway vitamin levels, Red blood cell folate levels, Folate receptor alpha levels, Folate receptor beta levels"
Maternal Folate deficiency - Sufficient (> 6 ng/ml); Deficient (< 6 ng/mL) at pregnancy week 26,"Serum folate levels, Folate pathway vitamin levels, Red blood cell folate levels, Folate receptor beta levels, Folate receptor alpha levels."
Maternal Transferrin Receptor Levels - Transferrin Receptor Levels (nM/L) at pregnancy week 26,"Transferrin receptor protein 1 levels (TFRC.8795.48.3), Transferrin receptor protein 1 levels, Transferrin receptor protein 2 levels, Iron status biomarkers (transferrin levels), Iron status biomarkers (transferrin saturation)"
Maternal Plasma Fatty Acids - Plasma_Myristic_conc_mcg_ml at pregnancy week 26,"Fatty acids (14:0) levels, Plasma omega-6 polyunsaturated fatty acid levels (linoleic acid), Plasma omega-6 polyunsaturated fatty acid levels (gamma-linolenic acid), Plasma omega-6 polyunsaturated fatty acid levels (arachidonic acid), Plasma omega-6 polyunsaturated fatty acid levels (dihomo-gamma-linolenic acid)"
Maternal Plasma Fatty Acids - Plasma_Myristic_percent at pregnancy week 26,"Fatty acids (14:0) levels, Plasma omega-6 polyunsaturated fatty acid levels (linoleic acid), Fatty acids (15:0) levels, Total fatty acids levels (UKB data field 23442), Monounsaturated fatty acids levels (UKB data field 23447)"
Maternal Plasma Fatty Acids - Plasma_Palmitic_conc_mcg_ml at pregnancy week 26,"Plasma omega-6 polyunsaturated fatty acid levels (linoleic acid), Plasma omega-6 polyunsaturated fatty acid levels (arachidonic acid), Plasma omega-6 polyunsaturated fatty acid levels (dihomo-gamma-linolenic acid), Plasma omega-6 polyunsaturated fatty acid levels (gamma-linolenic acid), Plasma omega-6 polyunsaturated fatty acid levels (adrenic acid)"
Maternal Plasma Fatty Acids - Plasma_Palmitic_percent at pregnancy week 26,"Plasma omega-6 polyunsaturated fatty acid levels (linoleic acid), Plasma omega-6 polyunsaturated fatty acid levels (dihomo-gamma-linolenic acid), Plasma omega-6 polyunsaturated fatty acid levels (arachidonic acid), Plasma omega-6 polyunsaturated fatty acid levels (gamma-linolenic acid), Plasma omega-6 polyunsaturated fatty acid levels (adrenic acid)"
Maternal Plasma Fatty Acids - Plasma_Palmitoleic_conc_mcg_ml at pregnancy week 26,"Monounsaturated fatty acids (16:1, 18:1) levels, Postprandial monounsaturated fatty acids (16:1, 18:1), Monounsaturated fatty acid levels, Monounsaturated fatty acids levels (UKB data field 23447), Serum linoleic acid concentration in metabolic syndrome."
Maternal Plasma Fatty Acids - Plasma_Palmitoleic_percent at pregnancy week 26,"Palmitoleic acid levels, Monounsaturated fatty acids (16:1, 18:1) levels, Postprandial monounsaturated fatty acids (16:1, 18:1), Monounsaturated fatty acids levels (UKB data field 23447), Total monounsaturated fatty acids levels."
Maternal Plasma Fatty Acids - Plasma_Stearic_conc_mcg_ml at pregnancy week 26,"Plasma omega-6 polyunsaturated fatty acid levels (linoleic acid), Plasma omega-3 polyunsaturated fatty acid levels (docosahexaenoic acid), Plasma omega-6 polyunsaturated fatty acid levels (dihomo-gamma-linolenic acid), Plasma omega-3 polyunsaturated fatty acid levels (docosapentaenoic acid), Plasma omega-6 polyunsaturated fatty acid levels (arachidonic acid)"
Maternal Plasma Fatty Acids - Plasma_Stearic_percent at pregnancy week 26,"Breast milk fatty acid composition (maternal genotype effect), Fatty acids (15:0) levels, Fatty acids (20:5) levels, Monounsaturated fatty acids (16:1, 18:1) levels, Total fatty acid levels."
Maternal Plasma Fatty Acids - Plasma_Oleic_conc_mcg_ml at pregnancy week 26,"Monounsaturated fatty acids (16:1, 18:1) levels, Monounsaturated fatty acids levels (UKB data field 23447), Fasting monounsaturated fatty acids (16:1, 18:1), Postprandial monounsaturated fatty acids (16:1, 18:1), Monounsaturated fatty acid levels"
Maternal Plasma Fatty Acids - Plasma_Oleic_percent at pregnancy week 26,"Monounsaturated fatty acids (16:1, 18:1) levels, Monounsaturated fatty acids levels (UKB data field 23447), Postprandial monounsaturated fatty acids (16:1, 18:1), Total fatty acids levels (UKB data field 23442), Total fatty acid levels"
Maternal Plasma Fatty Acids - Plasma_cis_Vaccenic_conc_mcg_ml at pregnancy week 26,"Plasma omega-6 polyunsaturated fatty acid levels (linoleic acid), Plasma omega-6 polyunsaturated fatty acid levels (dihomo-gamma-linolenic acid), Plasma omega-6 polyunsaturated fatty acid levels (gamma-linolenic acid), Plasma omega-6 polyunsaturated fatty acid levels (arachidonic acid), Plasma omega-6 polyunsaturated fatty acid levels (adrenic acid)"
Maternal Plasma Fatty Acids - Plasma_cis_Vaccenic_percent at pregnancy week 26,"Monounsaturated fatty acids (16:1, 18:1) levels, Total fatty acids levels (UKB data field 23442), Polyunsaturated fatty acids levels (UKB data field 23446), Plasma omega-6 polyunsaturated fatty acid levels (arachidonic acid), Plasma omega-6 polyunsaturated fatty acid levels (linoleic acid)"
Maternal Plasma Fatty Acids - Plasma_Linoleic_conc_mcg_ml at pregnancy week 26,"Plasma omega-6 polyunsaturated fatty acid levels (linoleic acid), Plasma omega-6 polyunsaturated fatty acid levels (dihomo-gamma-linolenic acid), Plasma omega-6 polyunsaturated fatty acid levels (gamma-linolenic acid), Serum linoleic acid concentration in metabolic syndrome, Breast milk fatty acid composition (maternal genotype effect)"
Maternal Plasma Fatty Acids - Plasma_Linoleic_percent at pregnancy week 26,"Plasma omega-6 polyunsaturated fatty acid levels (linoleic acid), Plasma omega-6 polyunsaturated fatty acid levels (gamma-linolenic acid), Plasma omega-6 polyunsaturated fatty acid levels (dihomo-gamma-linolenic acid), Serum linoleic acid concentration in metabolic syndrome, Linoleic acid to total fatty acids percentage (UKB data field 23456)"
Maternal Plasma Fatty Acids - Plasma_Linolenic_n6_conc_mcg_ml at pregnancy week 26,"Plasma omega-6 polyunsaturated fatty acid levels (linoleic acid), Plasma omega-6 polyunsaturated fatty acid levels (dihomo-gamma-linolenic acid), Plasma omega-6 polyunsaturated fatty acid levels (gamma-linolenic acid), Plasma omega-6 polyunsaturated fatty acid levels (arachidonic acid), Serum omega-6 polyunsaturated fatty acid concentration in metabolic syndrome."
Maternal Plasma Fatty Acids - Plasma_Linolenic_n6_percent at pregnancy week 26,"Plasma omega-6 polyunsaturated fatty acid levels (linoleic acid), Plasma omega-6 polyunsaturated fatty acid levels (gamma-linolenic acid), Plasma omega-6 polyunsaturated fatty acid levels (dihomo-gamma-linolenic acid), Serum omega-6 polyunsaturated fatty acid concentration in metabolic syndrome, Plasma omega-6 polyunsaturated fatty acid levels (arachidonic acid)"
Maternal Plasma Fatty Acids - Plasma_Linolenic_n3_conc_mcg_ml at pregnancy week 26,"Plasma omega-3 polyunsaturated fatty acid levels (alphalinolenic acid), Plasma omega-6 polyunsaturated fatty acid levels (gamma-linolenic acid), Plasma omega-6 polyunsaturated fatty acid levels (dihomo-gamma-linolenic acid), Plasma omega-6 polyunsaturated fatty acid levels (linoleic acid), Breast milk fatty acid composition (maternal genotype effect)"
Maternal Plasma Fatty Acids - Plasma_Linolenic_n3_percent at pregnancy week 26,"Plasma omega-3 polyunsaturated fatty acid levels (alphalinolenic acid), Plasma omega-3 polyunsaturated fatty acid levels (docosahexaenoic acid), Plasma omega-3 polyunsaturated fatty acid level (eicosapentaenoic acid), Plasma omega-3 polyunsaturated fatty acid levels (docosapentaenoic acid), Omega-3 fatty acids levels (UKB data field 23444)"
Maternal Plasma Fatty Acids - Plasma_20_0_conc_mcg_ml at pregnancy week 26,"Very long-chain saturated fatty acid levels (fatty acid 20:0), Fatty acids (20:5) levels, Plasma omega-3 polyunsaturated fatty acid levels (docosapentaenoic acid), Plasma omega-6 polyunsaturated fatty acid levels (arachidonic acid), Plasma omega-3 polyunsaturated fatty acid level (eicosapentaenoic acid)"
Maternal Plasma Fatty Acids - Plasma_20_0_percent at pregnancy week 26,"Very long-chain saturated fatty acid levels (fatty acid 20:0), Fatty acids (20:3)W6 levels, Fatty acid(20:3)_[M-H]1- levels, Plasma omega-6 polyunsaturated fatty acid levels (arachidonic acid), Fatty acid(20:4)_[M-H]1- levels"
Maternal Plasma Fatty Acids - Plasma_20_1_n9_conc_mcg_ml at pregnancy week 26,"Monounsaturated fatty acids (16:1, 18:1) levels, Postprandial monounsaturated fatty acids (16:1, 18:1), Plasma omega-6 polyunsaturated fatty acid levels (arachidonic acid), Plasma omega-6 polyunsaturated fatty acid levels (dihomo-gamma-linolenic acid), Plasma omega-6 polyunsaturated fatty acid levels (linoleic acid)"
Maternal Plasma Fatty Acids - Plasma_20_1_n9_percent at pregnancy week 26,"Plasma omega-6 polyunsaturated fatty acid levels (arachidonic acid), Plasma omega-6 polyunsaturated fatty acid levels (dihomo-gamma-linolenic acid), Plasma omega-6 polyunsaturated fatty acid levels (gamma-linolenic acid), Plasma omega-6 polyunsaturated fatty acid levels (linoleic acid), Plasma omega-6 polyunsaturated fatty acid levels (adrenic acid)"
Maternal Plasma Fatty Acids - Plasma_20_2_n6_conc_mcg_ml at pregnancy week 26,"Plasma omega-6 polyunsaturated fatty acid levels (arachidonic acid), Plasma omega-6 polyunsaturated fatty acid levels (linoleic acid), Plasma omega-6 polyunsaturated fatty acid levels (dihomo-gamma-linolenic acid), Plasma omega-6 polyunsaturated fatty acid levels (gamma-linolenic acid), Plasma omega-6 polyunsaturated fatty acid levels (adrenic acid)"
Maternal Plasma Fatty Acids - Plasma_20_2_n6_percent at pregnancy week 26,"Plasma omega-6 polyunsaturated fatty acid levels (linoleic acid), Plasma omega-6 polyunsaturated fatty acid levels (dihomo-gamma-linolenic acid), Plasma omega-6 polyunsaturated fatty acid levels (arachidonic acid), Plasma omega-6 polyunsaturated fatty acid levels (gamma-linolenic acid), Plasma omega-6 polyunsaturated fatty acid levels (adrenic acid)"
Maternal Plasma Fatty Acids - Plasma_20_3_n6_conc_mcg_ml at pregnancy week 26,"Fatty acids (20:3)W6 levels, Plasma omega-6 polyunsaturated fatty acid levels (dihomo-gamma-linolenic acid), Plasma omega-6 polyunsaturated fatty acid levels (arachidonic acid), Plasma omega-6 polyunsaturated fatty acid levels (adrenic acid), Fatty acid(20:3)_[M-H]1- levels."
Maternal Plasma Fatty Acids - Plasma_20_3_n6_percent at pregnancy week 26,"Fatty acids (20:3)W6 levels, Plasma omega-6 polyunsaturated fatty acid levels (dihomo-gamma-linolenic acid), Plasma omega-6 polyunsaturated fatty acid levels (arachidonic acid), Plasma omega-6 polyunsaturated fatty acid levels (gamma-linolenic acid), Plasma omega-6 polyunsaturated fatty acid levels (linoleic acid)"
Maternal Plasma Fatty Acids - Plasma_Arachidonic_n6_conc_mcg_ml at pregnancy week 26,"Plasma omega-6 polyunsaturated fatty acid levels (arachidonic acid), Plasma omega-6 polyunsaturated fatty acid levels (linoleic acid), Plasma omega-6 polyunsaturated fatty acid levels (dihomo-gamma-linolenic acid), Plasma omega-6 polyunsaturated fatty acid levels (adrenic acid), Plasma omega-6 polyunsaturated fatty acid levels (gamma-linolenic acid)"
Maternal Plasma Fatty Acids - Plasma_Arachidonic_n6_percent at pregnancy week 26,"Plasma omega-6 polyunsaturated fatty acid levels (arachidonic acid), Plasma omega-6 polyunsaturated fatty acid levels (linoleic acid), Plasma omega-6 polyunsaturated fatty acid levels (dihomo-gamma-linolenic acid), Plasma omega-6 polyunsaturated fatty acid levels (gamma-linolenic acid), Plasma omega-6 polyunsaturated fatty acid levels (adrenic acid)"
Maternal Plasma Fatty Acids - Plasma_22_0_conc_mcg_ml at pregnancy week 26,"Very long-chain saturated fatty acid levels (fatty acid 22:0), Plasma omega-6 polyunsaturated fatty acid levels (arachidonic acid), Plasma omega-3 polyunsaturated fatty acid levels (docosahexaenoic acid), Plasma omega-6 polyunsaturated fatty acid levels (linoleic acid), Plasma omega-3 polyunsaturated fatty acid level (eicosapentaenoic acid)"
Maternal Plasma Fatty Acids - Plasma_22_0_percent at pregnancy week 26,"Very long-chain saturated fatty acid levels (fatty acid 22:0), Fatty acid(22:4)_[M-H]1- levels, Fatty acid(22:5)_[M-H]1- levels, Fatty acid(22:6)_[M-H]1- levels, Plasma omega-3 polyunsaturated fatty acid levels (docosahexaenoic acid)"
Maternal Plasma Fatty Acids - Plasma_20_4_n3_conc_mcg_ml at pregnancy week 26,"Plasma omega-6 polyunsaturated fatty acid levels (arachidonic acid), Fatty acid(20:4)_[M-H]1- levels, Plasma omega-6 polyunsaturated fatty acid levels (dihomo-gamma-linolenic acid), Plasma omega-6 polyunsaturated fatty acid levels (gamma-linolenic acid), Plasma omega-6 polyunsaturated fatty acid levels (linoleic acid)"
Maternal Plasma Fatty Acids - Plasma_20_4_n3_percent at pregnancy week 26,"Plasma omega-6 polyunsaturated fatty acid levels (arachidonic acid), Fatty acid(20:4)_[M-H]1- levels, Plasma omega-6 polyunsaturated fatty acid levels (dihomo-gamma-linolenic acid), Plasma omega-6 polyunsaturated fatty acid levels (gamma-linolenic acid), Plasma omega-6 polyunsaturated fatty acid levels (linoleic acid)"
Maternal Plasma Fatty Acids - Plasma_EPA_conc_mcg_ml at pregnancy week 26,"Plasma omega-3 polyunsaturated fatty acid levels (eicosapentaenoic acid), Fatty acids (20:5) levels, Serum omega-3 polyunsaturated fatty acid concentration in metabolic syndrome, Omega-3 fatty acids levels (UKB data field 23444), Plasma omega-3 polyunsaturated fatty acid levels (docosahexaenoic acid)"
Maternal Plasma Fatty Acids - Plasma_EPA_percent at pregnancy week 26,"Plasma omega-3 polyunsaturated fatty acid level (eicosapentaenoic acid), Fatty acids (20:5) levels, Plasma omega-3 polyunsaturated fatty acid levels (docosahexaenoic acid), Plasma omega-3 polyunsaturated fatty acid levels (docosapentaenoic acid), Omega-3 fatty acids levels (UKB data field 23444)"
Maternal Plasma Fatty Acids - Plasma_22_4_n6_conc_mcg_ml at pregnancy week 26,"Plasma omega-6 polyunsaturated fatty acid levels (dihomo-gamma-linolenic acid), Plasma omega-6 polyunsaturated fatty acid levels (arachidonic acid), Plasma omega-6 polyunsaturated fatty acid levels (gamma-linolenic acid), Plasma omega-6 polyunsaturated fatty acid levels (adrenic acid), Plasma omega-6 polyunsaturated fatty acid levels (linoleic acid)"
Maternal Plasma Fatty Acids - Plasma_22_4_n6_percent at pregnancy week 26,"Plasma omega-6 polyunsaturated fatty acid levels (arachidonic acid), Plasma omega-6 polyunsaturated fatty acid levels (dihomo-gamma-linolenic acid), Plasma omega-6 polyunsaturated fatty acid levels (adrenic acid), Plasma omega-6 polyunsaturated fatty acid levels (gamma-linolenic acid), Plasma omega-6 polyunsaturated fatty acid levels (linoleic acid)"
Maternal Plasma Fatty Acids - Plasma_DPA_conc_mcg_ml at pregnancy week 26,"Plasma omega-3 polyunsaturated fatty acid levels (docosapentaenoic acid), Plasma omega-3 polyunsaturated fatty acid levels (docosahexaenoic acid), Plasma omega-6 polyunsaturated fatty acid levels (dihomo-gamma-linolenic acid), Plasma omega-6 polyunsaturated fatty acid levels (linoleic acid), Plasma omega-6 polyunsaturated fatty acid levels (arachidonic acid)"
Maternal Plasma Fatty Acids - Plasma_DPA_percent at pregnancy week 26,"Plasma omega-3 polyunsaturated fatty acid levels (docosapentaenoic acid), Plasma omega-3 polyunsaturated fatty acid levels (docosahexaenoic acid), Plasma omega-3 polyunsaturated fatty acid levels (alphalinolenic acid), Plasma omega-3 polyunsaturated fatty acid level (eicosapentaenoic acid), Serum docosahexaenoic fatty acid concentration in metabolic syndrome"
Maternal Plasma Fatty Acids - Plasma_DHA_conc_mcg_ml at pregnancy week 26,"Plasma omega-3 polyunsaturated fatty acid levels (docosahexaenoic acid), Breast milk fatty acid composition (maternal genotype effect), Plasma omega-3 polyunsaturated fatty acid level (eicosapentaenoic acid), Serum docosahexaenoic fatty acid concentration in metabolic syndrome, Fatty acid(22:6)_[M-H]1- levels"
Maternal Plasma Fatty Acids - Plasma_DHA_percent at pregnancy week 26,"Plasma omega-3 polyunsaturated fatty acid levels (docosahexaenoic acid), Serum docosahexaenoic fatty acid concentration in metabolic syndrome, Docosahexaenoic acid to total fatty acids percentage (UKB data field 23457), Omega-3 fatty acids levels (UKB data field 23444), Serum omega-3 polyunsaturated fatty acid concentration in metabolic syndrome."
Maternal Plasma Fatty Acids - Plasma_Total_FA_conc_mcg_ml at pregnancy week 26,"Plasma omega-6 polyunsaturated fatty acid levels (linoleic acid), Plasma omega-6 polyunsaturated fatty acid levels (dihomo-gamma-linolenic acid), Plasma omega-6 polyunsaturated fatty acid levels (arachidonic acid), Plasma omega-3 polyunsaturated fatty acid levels (docosapentaenoic acid), Plasma omega-3 polyunsaturated fatty acid levels (docosahexaenoic acid)"
Maternal Plasma Fatty Acids - Plasma_Total FA_percent at pregnancy week 26,"Plasma_Total FA_percent at pregnancy week 26, Total fatty acid levels, Total fatty acids levels (UKB data field 23442), Polyunsaturated fatty acids levels (UKB data field 23446), Saturated fatty acids levels (UKB data field 23448)"
Maternal Plasma Fatty Acids - Plasma_Total_n3_conc_mcg_ml at pregnancy week 26,"Plasma omega-3 polyunsaturated fatty acid levels (docosahexaenoic acid), Plasma omega-3 polyunsaturated fatty acid level (eicosapentaenoic acid), Plasma omega-3 polyunsaturated fatty acid levels (alphalinolenic acid), Omega-3 fatty acids levels (UKB data field 23444), Plasma omega-3 polyunsaturated fatty acid levels (docosapentaenoic acid)"
Maternal Plasma Fatty Acids - Plasma_Total_n3_percent at pregnancy week 26,"Plasma omega-3 polyunsaturated fatty acid levels (docosahexaenoic acid), Plasma omega-3 polyunsaturated fatty acid levels (eicosapentaenoic acid), Omega-3 fatty acids levels (UKB data field 23444), Omega-3 fatty acids to total fatty acids percentage (UKB data field 23451), Plasma omega-3 polyunsaturated fatty acid levels (docosapentaenoic acid)"
Maternal Plasma Fatty Acids - Plasma_Total_n6_conc_mcg_ml at pregnancy week 26,"Plasma omega-6 polyunsaturated fatty acid levels (linoleic acid), Plasma omega-6 polyunsaturated fatty acid levels (dihomo-gamma-linolenic acid), Plasma omega-6 polyunsaturated fatty acid levels (gamma-linolenic acid), Plasma omega-6 polyunsaturated fatty acid levels (arachidonic acid), Plasma omega-6 polyunsaturated fatty acid levels (adrenic acid)"
